sentence,labels,scores,ESG
" 1 airbnb corporate sustainability update corporate emissions footprint and progress against goals september 2022 2 in 2021, airbnb committed to a goal of operating as a net zero company for our corporate operations1  by 2030  a goal of reducing our corporate greenhouse gas emissions in line with our science-based targets, and using high-quality, nature-based solutions to address our residual emissions, by 2030.","['emissions', 'corporate compliance', 'pollution', 'natural resources', 'transparancy', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.2361893109404687, 0.23073490025216745, 0.21538589555652665, 0.154136583587496, 0.09649169993954324, 0.037457321693181826, 0.013276085227415009, 0.010849314721017368, 0.00468191533552043, 0.0007969727466633601]","['E', 'G', 'E', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
"this document provides an update on our corporate greenhouse gas footprint, our progress in reducing these emissions, and our plan to reach our net zero goals.","['emissions', 'pollution', 'corporate compliance', 'transparancy', 'board accountability', 'natural resources', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3631411861512726, 0.36076182531430906, 0.2680115166802792, 0.006209700611314175, 0.001591266115439466, 0.000151423631592509, 4.73233205933518e-05, 4.397156478830571e-05, 2.868755366227751e-05, 1.3099056749036547e-05]","['E', 'E', 'G', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
highlights include:   setting emissions reduction targets that have been approved by the science based targets initiative (sbti).,"['emissions', 'pollution', 'corporate compliance', 'board accountability', 'transparancy', 'natural resources', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.5537814716435342, 0.4216528412558045, 0.01922452464234309, 0.002483043791590883, 0.0018589696406994232, 0.0005877460680984723, 0.00019285386051630252, 0.00010366672127301413, 7.122140055019164e-05, 4.366097558994969e-05]","['E', 'E', 'G', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
achieving 100 percent renewable energy in our global offices.2   launching a supplier sustainability program to drive scope 3 emissions reductions.,"['emissions', 'pollution', 'corporate compliance', 'natural resources', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.284702576533193, 0.20409346433219355, 0.19843219028365314, 0.18809907892057617, 0.0760425869502107, 0.033397917794044746, 0.0067558524961766776, 0.0045835883836217485, 0.0029865847134433834, 0.0009061595928869109]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
continuing to invest in high quality nature-based solutions to help protect the natural world.,"['natural resources', 'philanthropy', 'transparancy', 'board accountability', 'pollution', 'emissions', 'diversity and inclusion', 'health and safety', 'training and education', 'corporate compliance']","[0.6135439975290793, 0.33066950790658795, 0.044550853606997246, 0.004351751499070904, 0.002072499142859029, 0.00176047044513846, 0.0009700402041336408, 0.0009649636497438288, 0.00056735579255374, 0.0005485602238358802]","['E', 'S', 'G', 'G', 'E', 'E', 'S', 'S', 'S', 'G']"
"1 including scope 1, 2, and 3 emissions associated with our corporate operations as outlined in appendix a.","['emissions', 'pollution', 'corporate compliance', 'health and safety', 'transparancy', 'natural resources', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.35111115118707176, 0.3400094017588309, 0.2383924527597508, 0.04023605870933175, 0.01751610470541375, 0.005680426899541657, 0.0037937145833961843, 0.0030715344346980335, 0.00013017496468007512, 5.897999728512427e-05]","['E', 'E', 'G', 'S', 'G', 'E', 'G', 'S', 'S', 'S']"
"2 we matched our global corporate electricity use with renewable energy for 2020 and 2021 by purchasing energy attribute  certificates (i.e., renewable energy certificates, guarantees of origin, or similar instruments) sufficient to match 100 percent of our global electricity use for our corporate operations for those years.","['corporate compliance', 'emissions', 'natural resources', 'transparancy', 'diversity and inclusion', 'pollution', 'board accountability', 'philanthropy', 'health and safety', 'training and education']","[0.2380721422038917, 0.20951957510937766, 0.19547111447829738, 0.14017690661805352, 0.06983665457478079, 0.06406226530481485, 0.05814768744114764, 0.013688154022586203, 0.00969002372558034, 0.0013354765214699301]","['G', 'E', 'E', 'G', 'S', 'E', 'G', 'S', 'S', 'S']"
our 2020 renewable energy purchases are not reflected in our scope 2 ghg emissions measurement for 2020 because the energy attribute certificates for 2020 had not been delivered at the time we completed our emissions inventory for that year.,"['emissions', 'pollution', 'natural resources', 'transparancy', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.23968898472678296, 0.22206879301422483, 0.20454176123271128, 0.11976485587920313, 0.10262015514792537, 0.05386118485528987, 0.03785371790165717, 0.01391710862812985, 0.005097464254967956, 0.0005859743591076033]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"3 measuring our corporate greenhouse gas emissions footprint airbnb has measured our greenhouse gas emissions, guided by the greenhouse gas (ghg) protocol accounting and reporting standards and working with watershed, our third-party sustainability partner, starting with 2019 as our baseline year.","['emissions', 'pollution', 'corporate compliance', 'natural resources', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.22472698701879493, 0.21546524306669604, 0.2154180113088042, 0.19128498418614956, 0.09305502747162517, 0.049922703793718035, 0.005571273663965551, 0.0032477670868076547, 0.001077717820733113, 0.00023028458270572756]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
"this measurement helps us understand the sources of our emissions, identify possible ways to reduce them, and monitor our progress over time.","['emissions', 'pollution', 'transparancy', 'natural resources', 'corporate compliance', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.35753639150890665, 0.3453269065081362, 0.20665246273369722, 0.03456730188227408, 0.01858213665839126, 0.018217282234327874, 0.017334641251210592, 0.001247833026015404, 0.00039891814111637103, 0.00013612605592435825]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
