sentence,labels,scores,ESG
"photos, clockwise from top left: power transmission line, water measurements, civil  engineering works, sheep grazing.","['natural resources', 'diversity and inclusion', 'transparancy', 'board accountability', 'health and safety', 'emissions', 'corporate compliance', 'philanthropy', 'pollution', 'training and education']","[0.9618592128917125, 0.01009908517761014, 0.007152790566431657, 0.005074646986005147, 0.0035642729769794364, 0.003556151660041968, 0.002592735713351209, 0.0022568228408387115, 0.0021419846539855224, 0.001702296533043708]","['E', 'S', 'G', 'G', 'S', 'E', 'G', 'S', 'E', 'S']"
"welcome to cerns second public environment report,  covering the period 2019-2020.","['natural resources', 'emissions', 'pollution', 'diversity and inclusion', 'transparancy', 'health and safety', 'board accountability', 'corporate compliance', 'training and education', 'philanthropy']","[0.48875341144670215, 0.18565385071510265, 0.16581269317757838, 0.06538113310769014, 0.04044939136361107, 0.024657708893688797, 0.012724586358731202, 0.009990807542636239, 0.006205542202853883, 0.00037087519140546234]","['E', 'E', 'E', 'S', 'G', 'S', 'G', 'G', 'S', 'S']"
"this was a challenging time for all of us, as the covid-19 pandemic brought much of the world to a halt.","['health and safety', 'transparancy', 'diversity and inclusion', 'board accountability', 'emissions', 'philanthropy', 'natural resources', 'corporate compliance', 'training and education', 'pollution']","[0.7923679094823451, 0.07179521823761038, 0.06873615861152968, 0.04121682999981252, 0.007600588302539116, 0.006748316187517203, 0.004455039458284871, 0.004249294703902951, 0.0016355986405572097, 0.0011950463759009078]","['S', 'G', 'S', 'G', 'E', 'S', 'E', 'G', 'S', 'E']"
"for cern, it was also the second long shutdown (ls2) of the large hadron collider (lhc) and our entire accelerator complex  an extended period of maintenance and upgrades across the laboratory.","['transparancy', 'board accountability', 'natural resources', 'health and safety', 'diversity and inclusion', 'emissions', 'pollution', 'corporate compliance', 'philanthropy', 'training and education']","[0.2960562392470851, 0.20283376395152997, 0.13182646365871814, 0.12600640320060594, 0.11398497729060017, 0.07558876130841517, 0.025032271099582358, 0.01735538112317489, 0.00824467098772967, 0.00307106813255864]","['G', 'G', 'E', 'S', 'S', 'E', 'E', 'G', 'S', 'S']"
"from an environmental-management perspective, long shutdowns are particularly intense periods, as equipment at the end of its life is replaced, thereby offering opportunities to align with the latest environmental standards.","['natural resources', 'pollution', 'emissions', 'transparancy', 'board accountability', 'diversity and inclusion', 'corporate compliance', 'health and safety', 'philanthropy', 'training and education']","[0.6712106299549052, 0.15498157100922869, 0.13504594854513602, 0.03519965043335577, 0.001556321956818376, 0.0012794823732297379, 0.00042175709739785924, 0.0001385447846507183, 9.291701388120729e-05, 7.317683139644383e-05]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
"the covid-19 pandemic meant that we had to adapt our plans, and im pleased to report that we managed to do so with just a few months delay to the schedule.","['health and safety', 'transparancy', 'corporate compliance', 'diversity and inclusion', 'board accountability', 'natural resources', 'emissions', 'philanthropy', 'training and education', 'pollution']","[0.4789327025446173, 0.17945004571257378, 0.12157092257329918, 0.0891455818784533, 0.08478283015599528, 0.022561480004802185, 0.013951385087520387, 0.004712746360924423, 0.004148927313557037, 0.0007433783682571557]","['S', 'G', 'G', 'S', 'G', 'E', 'E', 'S', 'S', 'E']"
"ls2 saw the completion of the lhc injectors upgrade  project (liu), which has readied the injector chain for the high-luminosity phase of lhc operation (hl-lhc), scheduled to get under way in 2028.","['natural resources', 'emissions', 'health and safety', 'corporate compliance', 'pollution', 'transparancy', 'diversity and inclusion', 'board accountability', 'philanthropy', 'training and education']","[0.3159992411025853, 0.30137729939240604, 0.21172060106567797, 0.04695461657952577, 0.041037415035417135, 0.03422057407526077, 0.02364008863292252, 0.016775885144437546, 0.005429426634089426, 0.002844852337677526]","['E', 'E', 'S', 'G', 'E', 'G', 'S', 'G', 'S', 'S']"
"the oldest accelerator still in operation at cern dates back to 1959, and others to the 1970s.","['natural resources', 'emissions', 'health and safety', 'diversity and inclusion', 'transparancy', 'training and education', 'corporate compliance', 'board accountability', 'pollution', 'philanthropy']","[0.5087604308971244, 0.1190062368690888, 0.0849224109980391, 0.07055764281312739, 0.06935969101876518, 0.059489607971088716, 0.026788403182833105, 0.025274559808466514, 0.01993904660676931, 0.015901969834697487]","['E', 'E', 'S', 'S', 'G', 'S', 'G', 'G', 'E', 'S']"
"liu was an opportunity not only to enhance their performance, but also to improve their environmental credentials.","['natural resources', 'training and education', 'emissions', 'transparancy', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'pollution', 'philanthropy', 'health and safety']","[0.2716994721513157, 0.23274484523915406, 0.15502730330774545, 0.12042824083571727, 0.051555925896966955, 0.043034088519365694, 0.04160638523746068, 0.032780345145398966, 0.029761205550692848, 0.02136218811618239]","['E', 'S', 'E', 'G', 'G', 'G', 'S', 'E', 'S', 'S']"
"during the lhcs first long shutdown, a new powering scheme for the super proton synchrotron (sps) accelerator allowed the machines energy consumption to be reduced by 40 gwh/year, and during the period covered by this report, a similar scheme was deployed as part of the refurbishment of our east area experimental hall, which has led to a 90% reduction in energy consumption.","['natural resources', 'emissions', 'transparancy', 'diversity and inclusion', 'board accountability', 'pollution', 'philanthropy', 'corporate compliance', 'health and safety', 'training and education']","[0.4001038065643499, 0.31884266355363927, 0.13236626900413706, 0.0453778193645596, 0.033649503928975, 0.028723513905669507, 0.01611276734482203, 0.013417378425024913, 0.009117951560173889, 0.0022883263486488323]","['E', 'E', 'G', 'S', 'G', 'E', 'S', 'G', 'S', 'S']"
