sentence,labels,scores,ESG
"foreword 4 in brief 7 about cern 9 management approach 12 energy 15 emissions 18 ionising radiation 24 biodiversity, land use and landscape change 26 water and effluents 28 waste 31 noise 34 environmental compliance and management of hazardous substances 36 knowledge and technology for the environment 38 glossary 40 gri content index 42 4 | cern environment report 20212022 | 5 a message from the director-general cern was established in 1954 as a focal point for fundamental physics research in europe, providing facilities that are beyond the reach of individual countries and fostering cooperation between european states through science.","['emissions', 'natural resources', 'pollution', 'transparancy', 'diversity and inclusion', 'board accountability', 'health and safety', 'philanthropy', 'corporate compliance', 'training and education']","[0.34838581354028175, 0.34571931811317563, 0.29906662818573015, 0.004951404558910358, 0.0009379560539497047, 0.000599238853683349, 0.00016029832890587182, 7.409515879968406e-05, 6.797257317493204e-05, 3.7274633388543e-05]","['E', 'E', 'E', 'G', 'S', 'G', 'S', 'S', 'G', 'S']"
"today, the laboratory has grown to provide a unique set of research infrastructures serving a worldwide community of scientists and has become a model of global collaboration.","['diversity and inclusion', 'transparancy', 'philanthropy', 'natural resources', 'emissions', 'board accountability', 'health and safety', 'training and education', 'pollution', 'corporate compliance']","[0.5192972421561775, 0.2647660698624254, 0.055586281110030264, 0.04844138279670553, 0.040747724534398115, 0.03505412077050405, 0.022831732866054874, 0.0076157447264574, 0.004607270656497481, 0.0010524305207493684]","['S', 'G', 'S', 'E', 'E', 'G', 'S', 'S', 'E', 'G']"
cern also aspires to be a model for a sustainable and environment-friendly research organisation and to ensure that some of its technologies can help society to protect the planet.,"['natural resources', 'emissions', 'transparancy', 'pollution', 'philanthropy', 'diversity and inclusion', 'board accountability', 'health and safety', 'corporate compliance', 'training and education']","[0.5506494147412863, 0.2272842925345819, 0.07093199231685256, 0.0581712047438714, 0.038790570279758324, 0.02876790529794477, 0.018250543268908247, 0.003561670709403272, 0.00261010928438113, 0.000982296823012117]","['E', 'E', 'G', 'E', 'S', 'S', 'G', 'S', 'G', 'S']"
"over recent years, climate and environment awareness  has grown considerably.","['natural resources', 'emissions', 'pollution', 'transparancy', 'board accountability', 'health and safety', 'training and education', 'diversity and inclusion', 'philanthropy', 'corporate compliance']","[0.5757598369986432, 0.33607210642194363, 0.07225355139440078, 0.01291405130683658, 0.0015505355393752522, 0.0004241464844131541, 0.00032833657328850676, 0.0003113379478896684, 0.00021116347335177073, 0.00017493385985748356]","['E', 'E', 'E', 'G', 'G', 'S', 'S', 'S', 'S', 'G']"
"while cern has always taken its environmental stewardship seriously, today we are making extra efforts to ensure that we can deliver all our objectives with minimum environmental impact while making a maximum contribution to society.","['natural resources', 'emissions', 'transparancy', 'pollution', 'board accountability', 'philanthropy', 'corporate compliance', 'diversity and inclusion', 'training and education', 'health and safety']","[0.4583926891905812, 0.22038642091864566, 0.2197777263765886, 0.07190614190646637, 0.016101359500485926, 0.0063646676217818865, 0.004458194103861171, 0.002395694624465695, 0.00011161030853475577, 0.00010549544858876264]","['E', 'E', 'G', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
this applies both to potential future facilities and to existing ones.,"['transparancy', 'corporate compliance', 'health and safety', 'diversity and inclusion', 'emissions', 'board accountability', 'natural resources', 'pollution', 'training and education', 'philanthropy']","[0.21197607925421225, 0.18275937294140226, 0.16028134497532323, 0.14983567761583155, 0.08632493408488928, 0.08234953262368926, 0.08038563156275082, 0.03368165046608226, 0.006873963101699695, 0.005531813374119384]","['G', 'G', 'S', 'S', 'E', 'G', 'E', 'E', 'S', 'S']"
"in 2020, the european particle physics community published  an update of the european strategy for particle physics and recommended that cern carry out a feasibility study for a future circular collider (fcc).","['transparancy', 'board accountability', 'diversity and inclusion', 'emissions', 'health and safety', 'natural resources', 'pollution', 'philanthropy', 'corporate compliance', 'training and education']","[0.5561403890194097, 0.23838112917103302, 0.17399554161959171, 0.007475263740799983, 0.005537431894902228, 0.004962189702922293, 0.004879772679697474, 0.0038264722392758084, 0.0033546151898731567, 0.0014471947424946412]","['G', 'G', 'S', 'E', 'S', 'E', 'E', 'S', 'G', 'S']"
it also recommended that a detailed plan for the minimisation of environmental impact and for the saving and re-use of energy should be part of the approval process for any major project.,"['natural resources', 'emissions', 'pollution', 'transparancy', 'board accountability', 'diversity and inclusion', 'corporate compliance', 'philanthropy', 'training and education', 'health and safety']","[0.4059703422127982, 0.291698536864424, 0.23750698260784667, 0.038054416475814354, 0.013437104475582336, 0.007182583796537939, 0.0054101132439481675, 0.0004886277399522677, 0.00013898496958411732, 0.00011230761351199395]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
"in other words, sustainability will be built into any future project at cern.","['natural resources', 'corporate compliance', 'board accountability', 'transparancy', 'emissions', 'pollution', 'philanthropy', 'diversity and inclusion', 'training and education', 'health and safety']","[0.5165433062221384, 0.20908307326418174, 0.10435683421269641, 0.10280836740255336, 0.05385596866057786, 0.005418286371656745, 0.004192480666712994, 0.0014910192936704635, 0.0011724153153305356, 0.0010782485904814961]","['E', 'G', 'G', 'G', 'E', 'E', 'S', 'S', 'S', 'S']"
"for that reason, the fcc feasibility study team is looking  closely at the environmental feasibility of the fcc, examining aspects ranging from the preservation of biodiversity to the use of excavated materials, developing more energy-efficient technologies and deploying renewable energy solutions.","['natural resources', 'transparancy', 'emissions', 'diversity and inclusion', 'pollution', 'board accountability', 'philanthropy', 'corporate compliance', 'training and education', 'health and safety']","[0.6886914634640685, 0.10541424782171992, 0.08731063308376158, 0.061404144475799775, 0.03506323192345621, 0.01800673520795858, 0.0024610670353349086, 0.0007697495989555435, 0.0005023111386761026, 0.00037641625026892805]","['E', 'G', 'E', 'S', 'E', 'G', 'S', 'G', 'S', 'S']"
we will keep you fully informed of developments in this area in future reports.,"['natural resources', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'emissions', 'transparancy', 'health and safety', 'training and education', 'philanthropy', 'pollution']","[0.3887747151442019, 0.153565126841615, 0.11807508745592608, 0.1089818107636262, 0.04986935916227564, 0.04680932958117718, 0.04341805663069083, 0.036703110208249984, 0.035079554734498794, 0.01872384947773838]","['E', 'S', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'E']"
"a word from the head of the occupational health  and safety and environmental protection unit cerns third environment report covers the years 2021 and 2022, a period that was marked by the continuing covid-19 pandemic and the emergence of war in europe following russias invasion of ukraine.","['health and safety', 'pollution', 'natural resources', 'emissions', 'transparancy', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'training and education', 'philanthropy']","[0.5168799728254567, 0.23428076814866824, 0.12363224039764935, 0.09214536729271035, 0.027879612840133315, 0.0020302454969589457, 0.0017736822173548463, 0.0012707748820598914, 5.3767116697484645e-05, 5.356878231079201e-05]","['S', 'E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S']"
both have had an impact on the data you will find in this report.,"['emissions', 'corporate compliance', 'transparancy', 'natural resources', 'training and education', 'diversity and inclusion', 'pollution', 'health and safety', 'board accountability', 'philanthropy']","[0.2325434027291934, 0.1858393974506568, 0.18012737544173915, 0.17395152713908343, 0.07538715236233424, 0.06726303880589013, 0.05677484784225554, 0.01825403080627758, 0.008297303358492766, 0.0015619240640769424]","['E', 'G', 'G', 'E', 'S', 'S', 'E', 'S', 'G', 'S']"
"like most of the world, covid-19 has changed the way in which cern operates.","['corporate compliance', 'transparancy', 'health and safety', 'diversity and inclusion', 'emissions', 'board accountability', 'natural resources', 'training and education', 'pollution', 'philanthropy']","[0.2952524695690799, 0.1913712420520088, 0.13036786081624438, 0.12972482360162546, 0.07753023495122006, 0.07334644759899099, 0.05139671745706442, 0.02996031138900016, 0.018182010353404384, 0.002867882211361379]","['G', 'G', 'S', 'S', 'E', 'G', 'E', 'S', 'E', 'S']"
"although the laboratory has come back to life with people  physically returning to the workplace, many now take advantage of the new possibility to telework part time and the amount of travel has significantly decreased.","['transparancy', 'diversity and inclusion', 'health and safety', 'board accountability', 'emissions', 'corporate compliance', 'natural resources', 'pollution', 'training and education', 'philanthropy']","[0.37613427930533033, 0.35918334213344894, 0.08642890606846865, 0.0650652459073141, 0.037297917886650406, 0.03270454353586525, 0.019000829152811427, 0.009876715613021732, 0.007239330726872349, 0.007068889670216782]","['G', 'S', 'S', 'G', 'E', 'G', 'E', 'E', 'S', 'S']"
the result of this is clearly visible in our commuting and travel statistics and the accompanying environmental data.,"['emissions', 'natural resources', 'pollution', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'corporate compliance', 'philanthropy', 'training and education']","[0.3883172836632172, 0.24610789054179125, 0.22498671164056103, 0.13435512338329758, 0.002362951344065429, 0.0017619571135526636, 0.0012626317785131486, 0.0006125999229309263, 0.0001867611320795357, 4.6089479991238906e-05]","['E', 'E', 'E', 'G', 'G', 'S', 'S', 'G', 'S', 'S']"
the russian invasion contributed to volatility in the energy markets.,"['transparancy', 'natural resources', 'emissions', 'board accountability', 'diversity and inclusion', 'health and safety', 'pollution', 'corporate compliance', 'philanthropy', 'training and education']","[0.5664806319870839, 0.3825163797316277, 0.021146887947654753, 0.015123762830472339, 0.004682276593788756, 0.0031540659866571966, 0.002943498140880355, 0.002552058436585799, 0.0009967126412210219, 0.00040372570402825905]","['G', 'E', 'E', 'G', 'S', 'S', 'E', 'G', 'S', 'S']"
"consequently, cern has implemented additional energy- saving measures as a mark of social responsibility.","['emissions', 'corporate compliance', 'natural resources', 'transparancy', 'board accountability', 'pollution', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.3753924940252682, 0.20887499739376425, 0.123414875796736, 0.12087564561525847, 0.09815186876346026, 0.027439271888296715, 0.021785743034448544, 0.01315542735072625, 0.010452248083501526, 0.0004574280485397708]","['E', 'G', 'E', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
"today, climate change and protecting the environment are  among the greatest challenges that humanity faces.","['natural resources', 'emissions', 'pollution', 'transparancy', 'board accountability', 'philanthropy', 'corporate compliance', 'health and safety', 'diversity and inclusion', 'training and education']","[0.44158349430328203, 0.41949386283926327, 0.12713566765486356, 0.009784350751920025, 0.0015372610197134477, 0.00015081134482994982, 0.00010596616526630897, 0.00010008455743352703, 7.626670143951332e-05, 3.223466198838606e-05]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
